file,path,type,included,tables_extracted,rows_extracted
2004 TandF Bydgoszcz with RT and PB SB rankings.xlsx,C:\Users\ALESSANDRO\Documents\GitHub\false_start\data\in\kate\extracted\2004 TandF Bydgoszcz with RT and PB SB rankings.xlsx,XLSX,NO,0,0
2004 TandF Bydgoszcz with RT and PB SB rankings_1.xlsx,C:\Users\ALESSANDRO\Documents\GitHub\false_start\data\in\kate\extracted\2004 TandF Bydgoszcz with RT and PB SB rankings_1.xlsx,XLSX,NO,0,0
2004 TandF EAA with RT.xlsx,C:\Users\ALESSANDRO\Documents\GitHub\false_start\data\in\kate\extracted\2004 TandF EAA with RT.xlsx,XLSX,NO,0,0
2004 TandF IIAF grand prix.xlsx,C:\Users\ALESSANDRO\Documents\GitHub\false_start\data\in\kate\extracted\2004 TandF IIAF grand prix.xlsx,XLSX,NO,0,0
2004 TandF Leipzig EAA results with RT.xlsx,C:\Users\ALESSANDRO\Documents\GitHub\false_start\data\in\kate\extracted\2004 TandF Leipzig EAA results with RT.xlsx,XLSX,NO,0,0
2004 TandF Ostrava II with RT.xlsx,C:\Users\ALESSANDRO\Documents\GitHub\false_start\data\in\kate\extracted\2004 TandF Ostrava II with RT.xlsx,XLSX,NO,0,0
2004 TandF RT included results Ostrava Golden Spike.xlsx,C:\Users\ALESSANDRO\Documents\GitHub\false_start\data\in\kate\extracted\2004 TandF RT included results Ostrava Golden Spike.xlsx,XLSX,NO,0,0
2004 TandF no RT but a few varied results Ostrava.xlsx,C:\Users\ALESSANDRO\Documents\GitHub\false_start\data\in\kate\extracted\2004 TandF no RT but a few varied results Ostrava.xlsx,XLSX,NO,0,0
2004 TandF top list.xlsx,C:\Users\ALESSANDRO\Documents\GitHub\false_start\data\in\kate\extracted\2004 TandF top list.xlsx,XLSX,NO,0,0
2004 TandF various results incl by state.xlsx,C:\Users\ALESSANDRO\Documents\GitHub\false_start\data\in\kate\extracted\2004 TandF various results incl by state.xlsx,XLSX,NO,0,0
2004 and 2005 TandF Oldozila incl some pb sb RT.xlsx,C:\Users\ALESSANDRO\Documents\GitHub\false_start\data\in\kate\extracted\2004 and 2005 TandF Oldozila incl some pb sb RT.xlsx,XLSX,NO,0,0
2005 2004 TandF top lists.xlsx,C:\Users\ALESSANDRO\Documents\GitHub\false_start\data\in\kate\extracted\2005 2004 TandF top lists.xlsx,XLSX,NO,0,0
2005 TandF IAAF Kazan.xlsx,C:\Users\ALESSANDRO\Documents\GitHub\false_start\data\in\kate\extracted\2005 TandF IAAF Kazan.xlsx,XLSX,NO,0,0
2005 TandF IAAF Zagreb incl pb and sb.xlsx,C:\Users\ALESSANDRO\Documents\GitHub\false_start\data\in\kate\extracted\2005 TandF IAAF Zagreb incl pb and sb.xlsx,XLSX,NO,0,0
2005 TandF Lausanne.xlsx,C:\Users\ALESSANDRO\Documents\GitHub\false_start\data\in\kate\extracted\2005 TandF Lausanne.xlsx,XLSX,NO,0,0
2005 TandF Paris incl some RT.xlsx,C:\Users\ALESSANDRO\Documents\GitHub\false_start\data\in\kate\extracted\2005 TandF Paris incl some RT.xlsx,XLSX,NO,0,0
2005 TandF Rome Golden Gala incl some RT pb sb.xlsx,C:\Users\ALESSANDRO\Documents\GitHub\false_start\data\in\kate\extracted\2005 TandF Rome Golden Gala incl some RT pb sb.xlsx,XLSX,NO,0,0
2005 TandF Thales Hengelo incl RT PB prize money amts.xlsx,C:\Users\ALESSANDRO\Documents\GitHub\false_start\data\in\kate\extracted\2005 TandF Thales Hengelo incl RT PB prize money amts.xlsx,XLSX,NO,0,0
2005 TandF Zagreb pb and sb only.xlsx,C:\Users\ALESSANDRO\Documents\GitHub\false_start\data\in\kate\extracted\2005 TandF Zagreb pb and sb only.xlsx,XLSX,NO,0,0
2005 TandF commonwealth trials bis some pages need redoing.xlsx,C:\Users\ALESSANDRO\Documents\GitHub\false_start\data\in\kate\extracted\2005 TandF commonwealth trials bis some pages need redoing.xlsx,XLSX,NO,0,0
2005 TandF commonwealth trials time pb sb .xlsx,C:\Users\ALESSANDRO\Documents\GitHub\false_start\data\in\kate\extracted\2005 TandF commonwealth trials time pb sb .xlsx,XLSX,NO,0,0
2005 TandF links not hit so no results on this.xlsx,C:\Users\ALESSANDRO\Documents\GitHub\false_start\data\in\kate\extracted\2005 TandF links not hit so no results on this.xlsx,XLSX,NO,0,0
2005 TandF madrid indoor athletics.xlsx,C:\Users\ALESSANDRO\Documents\GitHub\false_start\data\in\kate\extracted\2005 TandF madrid indoor athletics.xlsx,XLSX,NO,0,0
2005 TandF misc spanish and Thessaloniki and 2004 2003 2002 Thessaloniki wo RT.xlsx,C:\Users\ALESSANDRO\Documents\GitHub\false_start\data\in\kate\extracted\2005 TandF misc spanish and Thessaloniki and 2004 2003 2002 Thessaloniki wo RT.xlsx,XLSX,NO,0,0
2005 TandF top list OPAP.xlsx,C:\Users\ALESSANDRO\Documents\GitHub\false_start\data\in\kate\extracted\2005 TandF top list OPAP.xlsx,XLSX,NO,0,0
2005 TandF various incl pb sb RT.xlsx,C:\Users\ALESSANDRO\Documents\GitHub\false_start\data\in\kate\extracted\2005 TandF various incl pb sb RT.xlsx,XLSX,NO,0,0
2005 maybe swimming IAFF but must be redone.xlsx,C:\Users\ALESSANDRO\Documents\GitHub\false_start\data\in\kate\extracted\2005 maybe swimming IAFF but must be redone.xlsx,XLSX,NO,0,0
2006 TandF Stuttgart Ostrava Thales but no RT printed.xlsx,C:\Users\ALESSANDRO\Documents\GitHub\false_start\data\in\kate\extracted\2006 TandF Stuttgart Ostrava Thales but no RT printed.xlsx,XLSX,NO,0,0
2009 TandF Berlin with RT.xlsx,C:\Users\ALESSANDRO\Documents\GitHub\false_start\data\in\kate\extracted\2009 TandF Berlin with RT.xlsx,XLSX,NO,0,0
2009 TandF UK Athletics with some RT PB SB.xlsx,C:\Users\ALESSANDRO\Documents\GitHub\false_start\data\in\kate\extracted\2009 TandF UK Athletics with some RT PB SB.xlsx,XLSX,NO,0,0
2009 world championships Berlin with some RT PB.xlsx,C:\Users\ALESSANDRO\Documents\GitHub\false_start\data\in\kate\extracted\2009 world championships Berlin with some RT PB.xlsx,XLSX,NO,0,0
Copy of False Start master 2.7.24 (002).xlsx,C:\Users\ALESSANDRO\Documents\GitHub\false_start\data\in\kate\extracted\Copy of False Start master 2.7.24 (002).xlsx,XLSX,NO,0,0
"Cox, Claire L_202412101526.xlsx","C:\Users\ALESSANDRO\Documents\GitHub\false_start\data\in\kate\extracted\Cox, Claire L_202412101526.xlsx",XLSX,NO,0,0
_lsskb.xlsx,C:\Users\ALESSANDRO\Documents\GitHub\false_start\data\in\kate\extracted\_lsskb.xlsx,XLSX,NO,0,0
addl data source websites.docx,C:\Users\ALESSANDRO\Documents\GitHub\false_start\data\in\kate\extracted\addl data source websites.docx,DOCX,NO,0,0
article about false start rule change.xlsx,C:\Users\ALESSANDRO\Documents\GitHub\false_start\data\in\kate\extracted\article about false start rule change.xlsx,XLSX,NO,0,0
articles about reaction times incl lit review circa 2003.xlsx,C:\Users\ALESSANDRO\Documents\GitHub\false_start\data\in\kate\extracted\articles about reaction times incl lit review circa 2003.xlsx,XLSX,NO,0,0
full history AH time world rankings women T&F news.xlsx,C:\Users\ALESSANDRO\Documents\GitHub\false_start\data\in\kate\extracted\full history AH time world rankings women T&F news.xlsx,XLSX,NO,0,0
history TandF EAA and AEA results long period no RT.xlsx,C:\Users\ALESSANDRO\Documents\GitHub\false_start\data\in\kate\extracted\history TandF EAA and AEA results long period no RT.xlsx,XLSX,NO,0,0
possible 2005 sb and pb only.xlsx,C:\Users\ALESSANDRO\Documents\GitHub\false_start\data\in\kate\extracted\possible 2005 sb and pb only.xlsx,XLSX,NO,0,0
